title,rating,body,author,date
"Decepcionante, tanto la cafetera como el servicio postventa.","1,0 de 5 estrellas","EDITO: El café lo hace bueno, no sabe para nada a plástico. El servicio postventa nefasto, he tenido que hablar con ellos varias veces, se han llevado la cafetera, la he vuelto a recibir (sin ningún mensaje previo por su parte en cuanto a que se le ha hecho a la cafetera, tuve que preguntar yo después de recibirla...) la cafetera sigue igual, el vapor no funciona como debería, no sube el termostato, con lo cual no hace la espuma de la leche, si hay gente a la que su cafetera le llega al icono del vapor (o por lo menos sube más que el icono del café...) cuando pulsa el botón, porque la mía no? Está claro que algo falla...ahora me dicen que se la vuelven a llevar, pero que si “ellos consideran” que está bien tengo que pagar otros 5€, ya os he grabado los vídeos de como NO FUNCIONA BIEN la cafetera, lo que no es normal es que con 2 meses y poco no funcione como debería, que si que hace café, que si que calienta la leche, pero que si para calentar la mitad de una jarra de 150ml (o sea 75 ml de leche) tengo que esperar a que la luz se encienda 3 veces, porque el termostato sube y baja, y la luz se enciende y se apaga...pues no me salen las cuentas.
Yo quiero una cafetera como esos a los que les llega el indicador de temperatura hasta dónde tiene que llegar, porque a ver por unas cafeteras llegan y otras no???
Por otro lado, mi cafetera es la de color amarillo, NO LA COMPRÉIS, sobre todo en este color...la bandeja recoge gotas ya no es amarilla, ya es de color café, yo la tengo que limpiar después de cada café, porque el plástico chupa todo el color y ya puedes frotar que no hay quien lo quite, gota que cae de café gota que queda perenne...
En fin, que después de estos mese NO LA RECOMIENDO para nada, y con el servicio técnico tampoco recomendaría ningún producto de esta firma, Ikohs.
Ahora de momento me toca intentar luchar por lo que creo que es justo, una cafetera que cumpla TODAS sus funciones perfectamente, que me he gastado 110€ tampoco es una cafetera barata....

La cafetera hace un café magnífico! Tenía dudas por eso de que en algunas opiniones decían que sabía a plástico, hay que LAVAR todo bien antes del primer uso, y después vaciar un depósito de agua sin cafe (se tarda unos 5 minutos en hacer esto). Después obviamente el café que compres tambien influye, pero yo he probado de Starbucks, Marcilla expresso y descafeinado y todos perfectos!! La tenemos funcionando a pleno rendimiento! Nos hemos vuelto cafeteros!!!
Eso si, después de comprarla vi que aunque, en mi caso, la envía la marca iKohs, pedirla por Amazon es más caro que pedirla en su web, me podría haber ahorrado unos 20€...",Alicia TM,Revisado en España el 12 de diciembre de 2020
Magnífica cafetera (café con espuma consistente ) y extraordinario servicio de atención al cliente.,"5,0 de 5 estrellas",Uno de los pilotos no se encendía. Me puse en contacto con ellos y organizaron la devolución sin ningún problema o coste. Mientras compramos otra igual en su página web. Muy buen producto a un precio inigualable.,Alfonso,Revisado en España el 30 de enero de 2024
Está bien,"3,0 de 5 estrellas","Después de más de dos meses usándola hace muy buen café, pero me parece que los materiales de la cafetera son malos muy plasticucha Y no sé el tiempo que durará la cafetera, pero para el valor que tiene podría tener unos materiales mejor. Por lo demás, muy muy bien hace un café estupendo",Lorena,Revisado en España el 14 de marzo de 2024
Estoy viciada a lo bueno que sale el café,"4,0 de 5 estrellas","Tardé MUCHO en decidirme porque me daba mucho miedo tantas reseñas diciendo que el café sabía a plástico. Decidí arriesgarme y menos mal, porque no es para nada verdad. Seguí los pasos que pone en las instrucciones para lavarla antes de hacer el primer café y desde el primerísimo café que sale buenísimo no, lo siguiente. Todos mis invitados me dicen que es una pasada.
Eso sí, le he puesto 4 estrellas porque el espacio para la taza es pequeñísimo. Estuve a punto de devolverla porque no me cabe mi taza del café con leche, pero al final he optado por quitar la base cuando me hago el café. La espumadera para la leche no la he utilizado porque le doy a la leche un golpe de micro y el café ya sale con mucha espuma (si no te gusta el café con espuma no la cojas).
Otro punto un poco malo es que me hubiera gustado que fuera un pelín más robusta, cuesta quitar el brazo del café porque te llevas contigo toda la máquina.
Lo que adoro es que el depósito de agua es muy grande y no has de estar constantemente rellenándolo. Para el café vienen dos medidas, la pequeña nunca la he utilizado. Para mi café con leche de la mañana utilizo el tamaño grande con dos salidas. Alguna tarde que he tenido invitados he hecho dos cafés con leche a la vez con esa medida grande, pero quedan flojos. Si eres muy de café, necesitarás siempre la doble para un solo café.
En resumen, con un buen café; la calidad del café es de 10, la máquina preciosa. Lo malo: pesa poquísimo y por lo tanto cuesta quitar el brazo del café y sobretodo, que no cabe la taza :(.
Aún y así, la recomiendo mucho.",Cliente Amazon,Revisado en España el 4 de junio de 2023
Buena máquina para los cafeteros,"4,0 de 5 estrellas","Me encanta hacer café con esta máquina. Queda espumoso y más ecológico que el de cápsulas. Si eres cafetero y te gusta probar mezclas, esta máquina te servirá.
Tiene también para calentar la leche.",Manel,Revisado en España el 24 de junio de 2024
"Cumpre a função, mas é barulhenta","4,0 de 5 estrellas",Estou satisfeito com a compra e não me arrependo. Mas vale deixar claro que a máquina é um pouco barulhenta.,Renan P.,Revisado en España el 20 de mayo de 2024
Perfecta!,"5,0 de 5 estrellas","Me encanta! Soy adicta al café y me gusta tomarme un buen espresso espumoso y cargado de sabor. Antes de comprar este modelo, tenía el modelo anterior sin el acabado de madera. Y ha funcionado perfectamente durante 4 años. Luego ha empezado a tener fallos de presión y he decidido cambiar a una cafetera carísima de Delonghi dedica arte y es que no merecía la pena. Hacía el café menos intenso y el espumador de leche no servía para nada, porque dejaba la leche igual de líquida y sin espuma.He vuelto a CREATE porque a parte de tener un diseño tan precioso, hace un café maravilloso y el espumador de leche es una maravilla. Y todo eso por un precio tan reducido, que no hace falta pagar cientos de euros por una cafetera que va a dar un resultado parecido. Lo recomiendo 100%. Espero q esta, con el uso y el cuidado adecuado, dure más de 4 años",Perfecta!,Revisado en España el 22 de febrero de 2024
Un quiero y no puedo,"4,0 de 5 estrellas",Realmente el producto en si funciona bien pero no acaba de llegar a la expectativa. Estéticamente es bonito pero los acabados se ven muy de plástico y de mal calidad. El uso tiene sus fallos ya que tarda bastante en coger temperatura. No hace mal cafe pero no la volvería a comprar por ese precio se pueden encontrar mejores cafeteras,Ro,Revisado en España el 17 de abril de 2024
Precioso diseño y buen funcionamiento a buen precio,"5,0 de 5 estrellas","Si quieres una cafetera sin complicaciones, bonita y a buen precio, esta es una opción genial. El diseño ""retro"" es precioso y el funcionamiento sencillo. Aunque abunda el plástico, se ve robusta. Yo la conseguí de oferta y, la verdad, estoy encantando. No he probado el vaporizador, pero el café sale muy bueno, aunque claro, eso ya depende del tipo de café que le pongas. Una gran compra.",Hank Solo,Revisado en España el 22 de enero de 2024
Buena Relación Precio/Calidad,"5,0 de 5 estrellas","Qué Pasada!!

la Compramos para Reyes cansados de dejarnos el sueldo en comprar cápsulas y con ganas de disfrutar de un buen café. La maquina llegó en tan sólo 2 días. Venía en su caja de Ikhos dentro de una caja de Amazon todo super bien cuidado al detalle para que no sufriera ningún daño.

Dentro de la máquina se incluye el brazo para el café con dos filtros (para hacer 1 o 2 cafés).

En cuanto al funcionamiento, es una máquina muy intuitiva aunque, como bien explican las instrucciones, es necesario realizar una buena limpieza previa para tener un buen café a posterior. la máquina permite hacer los cafés (en el cantidad que desees), calentar y/o espumar leche y sacar agua caliente para los té.
El café n está nada mal, a mi al principio me costó cogerle el truco porque me salía súper espumoso pero una vez vi el problema, ahora sale un café con consistencia, textura y aroma intenso.Lógicamente, para que esto salga bien, también es necesario comprar un buen café (la máquina no hace milagros).

En cuanto al ruido, tema que me preocupaba mucho, es muy similar al ruido que te puede hacer una cafetera de cápsulas así que, con cerrar la puerta de la estancia, es suficiente para no molestar al resto de habitantes de la casa.

Ahora bien, también doy dos ""contras"":
1. No cabe una taza normal así que, para hacer un café con leche es necesario que quites la bandeja goteo para poner la taza.
2. La máquina es de plástico cosa que dificulta bastante limpiar el café que luego gotea. Así pues, si salpica una gota y no la limpias al momento, te quedará marcada de por vida.",LHO,Revisado en España el 26 de febrero de 2021
"Decepcionante, tanto la cafetera como el servicio postventa.","1,0 de 5 estrellas","EDITO: El café lo hace bueno, no sabe para nada a plástico. El servicio postventa nefasto, he tenido que hablar con ellos varias veces, se han llevado la cafetera, la he vuelto a recibir (sin ningún mensaje previo por su parte en cuanto a que se le ha hecho a la cafetera, tuve que preguntar yo después de recibirla...) la cafetera sigue igual, el vapor no funciona como debería, no sube el termostato, con lo cual no hace la espuma de la leche, si hay gente a la que su cafetera le llega al icono del vapor (o por lo menos sube más que el icono del café...) cuando pulsa el botón, porque la mía no? Está claro que algo falla...ahora me dicen que se la vuelven a llevar, pero que si “ellos consideran” que está bien tengo que pagar otros 5€, ya os he grabado los vídeos de como NO FUNCIONA BIEN la cafetera, lo que no es normal es que con 2 meses y poco no funcione como debería, que si que hace café, que si que calienta la leche, pero que si para calentar la mitad de una jarra de 150ml (o sea 75 ml de leche) tengo que esperar a que la luz se encienda 3 veces, porque el termostato sube y baja, y la luz se enciende y se apaga...pues no me salen las cuentas.
Yo quiero una cafetera como esos a los que les llega el indicador de temperatura hasta dónde tiene que llegar, porque a ver por unas cafeteras llegan y otras no???
Por otro lado, mi cafetera es la de color amarillo, NO LA COMPRÉIS, sobre todo en este color...la bandeja recoge gotas ya no es amarilla, ya es de color café, yo la tengo que limpiar después de cada café, porque el plástico chupa todo el color y ya puedes frotar que no hay quien lo quite, gota que cae de café gota que queda perenne...
En fin, que después de estos mese NO LA RECOMIENDO para nada, y con el servicio técnico tampoco recomendaría ningún producto de esta firma, Ikohs.
Ahora de momento me toca intentar luchar por lo que creo que es justo, una cafetera que cumpla TODAS sus funciones perfectamente, que me he gastado 110€ tampoco es una cafetera barata....

La cafetera hace un café magnífico! Tenía dudas por eso de que en algunas opiniones decían que sabía a plástico, hay que LAVAR todo bien antes del primer uso, y después vaciar un depósito de agua sin cafe (se tarda unos 5 minutos en hacer esto). Después obviamente el café que compres tambien influye, pero yo he probado de Starbucks, Marcilla expresso y descafeinado y todos perfectos!! La tenemos funcionando a pleno rendimiento! Nos hemos vuelto cafeteros!!!
Eso si, después de comprarla vi que aunque, en mi caso, la envía la marca iKohs, pedirla por Amazon es más caro que pedirla en su web, me podría haber ahorrado unos 20€...",Alicia TM,Revisado en España el 12 de diciembre de 2020
Magnífica cafetera (café con espuma consistente ) y extraordinario servicio de atención al cliente.,"5,0 de 5 estrellas",Uno de los pilotos no se encendía. Me puse en contacto con ellos y organizaron la devolución sin ningún problema o coste. Mientras compramos otra igual en su página web. Muy buen producto a un precio inigualable.,Alfonso,Revisado en España el 30 de enero de 2024
Está bien,"3,0 de 5 estrellas","Después de más de dos meses usándola hace muy buen café, pero me parece que los materiales de la cafetera son malos muy plasticucha Y no sé el tiempo que durará la cafetera, pero para el valor que tiene podría tener unos materiales mejor. Por lo demás, muy muy bien hace un café estupendo",Lorena,Revisado en España el 14 de marzo de 2024
